freq,function,item,label,position,word
6961417.875,Det,1,subj_ext,1,The
1328.625,N,1,subj_ext,2,reporter
232455.375,wh,1,subj_ext,3,who
15429.375,Vd,1,subj_ext,4,sent
6961417.875,Det,1,subj_ext,5,the
1257.75,N,1,subj_ext,6,photographer
2880389.25,P,1,subj_ext,7,to
6961417.875,Det,1,subj_ext,8,the
4398.75,N,1,subj_ext,9,editor
1039471.875,Vt,1,subj_ext,10,was
6961417.875,Det,2,subj_ext,1,The
26114.625,N,2,subj_ext,2,woman
232455.375,wh,2,subj_ext,3,who
5689.125,Vd,2,subj_ext,4,pushed
6961417.875,Det,2,subj_ext,5,the
69860.25,N,2,subj_ext,6,man
183903.75,P,2,subj_ext,7,into
6961417.875,Det,2,subj_ext,8,the
22725.0,N,2,subj_ext,9,table
52975.125,Vt,2,subj_ext,10,left
6961417.875,Det,3,subj_ext,1,The
1902.375,N,3,subj_ext,2,singer
232455.375,wh,3,subj_ext,3,who
9732.375,Vd,3,subj_ext,4,introduced
6961417.875,Det,3,subj_ext,5,the
1072.125,N,3,subj_ext,6,composer
2880389.25,P,3,subj_ext,7,to
6961417.875,Det,3,subj_ext,8,the
700.875,N,3,subj_ext,9,musician
1039471.875,Vt,3,subj_ext,10,was
6961417.875,Det,4,subj_ext,1,The
14951.25,N,4,subj_ext,2,boy
232455.375,wh,4,subj_ext,3,who
7900.875,Vd,4,subj_ext,4,pulled
6961417.875,Det,4,subj_ext,5,the
17732.25,N,4,subj_ext,6,girl
183903.75,P,4,subj_ext,7,into
6961417.875,Det,4,subj_ext,8,the
2161.125,N,4,subj_ext,9,mud
501070.5,Vt,4,subj_ext,10,had
6961417.875,Det,5,subj_ext,1,The
25.875,N,5,subj_ext,2,hiker
232455.375,wh,5,subj_ext,3,who
44055.0,Vd,5,subj_ext,4,took
6961417.875,Det,5,subj_ext,5,the
228.375,N,5,subj_ext,6,ranger
2880389.25,P,5,subj_ext,7,to
6961417.875,Det,5,subj_ext,8,the
130.5,N,5,subj_ext,9,campsite
1039471.875,Vt,5,subj_ext,10,was
6961417.875,Det,6,subj_ext,1,The
3.375,N,6,subj_ext,2,busboy
232455.375,wh,6,subj_ext,3,who
22909.5,Vd,6,subj_ext,4,brought
6961417.875,Det,6,subj_ext,5,the
844.875,N,6,subj_ext,6,waiter
2880389.25,P,6,subj_ext,7,to
6961417.875,Det,6,subj_ext,8,the
22725.0,N,6,subj_ext,9,table
12.375,Vt,6,subj_ext,10,didnt
6961417.875,Det,7,subj_ext,1,The
857.25,N,7,subj_ext,2,gardener
232455.375,wh,7,subj_ext,3,who
4205.25,Vd,7,subj_ext,4,recommended
6961417.875,Det,7,subj_ext,5,the
1386.0,N,7,subj_ext,6,painter
2880389.25,P,7,subj_ext,7,to
6961417.875,Det,7,subj_ext,8,the
10.125,N,7,subj_ext,9,homeowner
1039471.875,Vt,7,subj_ext,10,was
6961417.875,Det,8,subj_ext,1,The
1107.0,N,8,subj_ext,2,businessman
232455.375,wh,8,subj_ext,3,who
4205.25,Vd,8,subj_ext,4,recommended
6961417.875,Det,8,subj_ext,5,the
679.5,N,8,subj_ext,6,banker
2880389.25,P,8,subj_ext,7,to
6961417.875,Det,8,subj_ext,8,the
45132.75,N,8,subj_ext,9,company
291873.375,Vt,8,subj_ext,10,has
6961417.875,Det,9,subj_ext,1,The
2293.875,N,9,subj_ext,2,actor
232455.375,wh,9,subj_ext,3,who
7858.125,Vd,9,subj_ext,4,mentioned
6961417.875,Det,9,subj_ext,5,the
672.75,N,9,subj_ext,6,dancer
2880389.25,P,9,subj_ext,7,to
6961417.875,Det,9,subj_ext,8,the
13692.375,N,9,subj_ext,9,director
287097.75,Vt,9,subj_ext,10,would
6961417.875,Det,10,subj_ext,1,The
56.25,N,10,subj_ext,2,protester
232455.375,wh,10,subj_ext,3,who
437.625,Vd,10,subj_ext,4,shoved
6961417.875,Det,10,subj_ext,5,the
8616.375,N,10,subj_ext,6,student
183903.75,P,10,subj_ext,7,into
6961417.875,Det,10,subj_ext,8,the
4966.875,N,10,subj_ext,9,crowd
1039471.875,Vt,10,subj_ext,10,was
6961417.875,Det,11,subj_ext,1,The
32.625,N,11,subj_ext,2,intern
232455.375,wh,11,subj_ext,3,who
1374.75,Vd,11,subj_ext,4,assigned
6961417.875,Det,11,subj_ext,5,the
4183.875,N,11,subj_ext,6,assistant
2880389.25,P,11,subj_ext,7,to
6961417.875,Det,11,subj_ext,8,the
17116.875,N,11,subj_ext,9,project
286386.75,Vt,11,subj_ext,10,will
6961417.875,Det,12,subj_ext,1,The
27.0,N,12,subj_ext,2,firefighter
232455.375,wh,12,subj_ext,3,who
3951.0,Vd,12,subj_ext,4,directed
6961417.875,Det,12,subj_ext,5,the
187.875,N,12,subj_ext,6,policewoman
2880389.25,P,12,subj_ext,7,to
6961417.875,Det,12,subj_ext,8,the
7654.5,N,12,subj_ext,9,scene
1039471.875,Vt,12,subj_ext,10,was
6961417.875,Det,13,subj_ext,1,The
1872.0,N,13,subj_ext,2,prisoner
232455.375,wh,13,subj_ext,3,who
437.625,Vd,13,subj_ext,4,shoved
6961417.875,Det,13,subj_ext,5,the
3438.0,N,13,subj_ext,6,guard
183903.75,P,13,subj_ext,7,into
6961417.875,Det,13,subj_ext,8,the
13538.25,N,13,subj_ext,9,wall
291873.375,Vt,13,subj_ext,10,has
6961417.875,Det,14,subj_ext,1,The
15.75,N,14,subj_ext,2,cheerleader
232455.375,wh,14,subj_ext,3,who
44055.0,Vd,14,subj_ext,4,took
6961417.875,Det,14,subj_ext,5,the
65.25,N,14,subj_ext,6,quarterback
2880389.25,P,14,subj_ext,7,to
6961417.875,Det,14,subj_ext,8,the
45344.25,N,14,subj_ext,9,party
291873.375,Vt,14,subj_ext,10,has
6961417.875,Det,15,subj_ext,1,The
5245.875,N,15,subj_ext,2,customer
232455.375,wh,15,subj_ext,3,who
5689.125,Vd,15,subj_ext,4,pushed
6961417.875,Det,15,subj_ext,5,the
2196.0,N,15,subj_ext,6,clerk
183903.75,P,15,subj_ext,7,into
6961417.875,Det,15,subj_ext,8,the
8240.625,N,15,subj_ext,9,clothes
840.375,Vt,15,subj_ext,10,rack
6961417.875,Det,16,subj_ext,1,The
243.0,N,16,subj_ext,2,plumber
232455.375,wh,16,subj_ext,3,who
4172.625,Vd,16,subj_ext,4,drove
6961417.875,Det,16,subj_ext,5,the
534.375,N,16,subj_ext,6,carpenter
2880389.25,P,16,subj_ext,7,to
6961417.875,Det,16,subj_ext,8,the
5.625,N,16,subj_ext,9,worksite
75341.25,Vt,16,subj_ext,10,used
6961417.875,Det,1,obj_ext,1,The
1328.625,N,1,obj_ext,2,reporter
232455.375,wh,1,obj_ext,3,who
6961417.875,Det,1,obj_ext,4,the
1257.75,N,1,obj_ext,5,photographer
15429.375,Vd,1,obj_ext,6,sent
2880389.25,P,1,obj_ext,7,to
6961417.875,Det,1,obj_ext,8,the
4398.75,N,1,obj_ext,9,editor
1039471.875,Vt,1,obj_ext,10,was
6961417.875,Det,2,obj_ext,1,The
26114.625,N,2,obj_ext,2,woman
232455.375,wh,2,obj_ext,3,who
6961417.875,Det,2,obj_ext,4,the
69860.25,N,2,obj_ext,5,man
5689.125,Vd,2,obj_ext,6,pushed
183903.75,P,2,obj_ext,7,into
6961417.875,Det,2,obj_ext,8,the
22725.0,N,2,obj_ext,9,table
52975.125,Vt,2,obj_ext,10,left
6961417.875,Det,3,obj_ext,1,The
1902.375,N,3,obj_ext,2,singer
232455.375,wh,3,obj_ext,3,who
6961417.875,Det,3,obj_ext,4,the
1072.125,N,3,obj_ext,5,composer
9732.375,Vd,3,obj_ext,6,introduced
2880389.25,P,3,obj_ext,7,to
6961417.875,Det,3,obj_ext,8,the
700.875,N,3,obj_ext,9,musician
1039471.875,Vt,3,obj_ext,10,was
6961417.875,Det,4,obj_ext,1,The
14951.25,N,4,obj_ext,2,boy
232455.375,wh,4,obj_ext,3,who
6961417.875,Det,4,obj_ext,4,the
17732.25,N,4,obj_ext,5,girl
7900.875,Vd,4,obj_ext,6,pulled
183903.75,P,4,obj_ext,7,into
6961417.875,Det,4,obj_ext,8,the
2161.125,N,4,obj_ext,9,mud
501070.5,Vt,4,obj_ext,10,had
6961417.875,Det,5,obj_ext,1,The
25.875,N,5,obj_ext,2,hiker
232455.375,wh,5,obj_ext,3,who
6961417.875,Det,5,obj_ext,4,the
228.375,N,5,obj_ext,5,ranger
44055.0,Vd,5,obj_ext,6,took
2880389.25,P,5,obj_ext,7,to
6961417.875,Det,5,obj_ext,8,the
130.5,N,5,obj_ext,9,campsite
1039471.875,Vt,5,obj_ext,10,was
6961417.875,Det,6,obj_ext,1,The
3.375,N,6,obj_ext,2,busboy
232455.375,wh,6,obj_ext,3,who
6961417.875,Det,6,obj_ext,4,the
844.875,N,6,obj_ext,5,waiter
22909.5,Vd,6,obj_ext,6,brought
2880389.25,P,6,obj_ext,7,to
6961417.875,Det,6,obj_ext,8,the
22725.0,N,6,obj_ext,9,table
12.375,Vt,6,obj_ext,10,didnt
6961417.875,Det,7,obj_ext,1,The
857.25,N,7,obj_ext,2,gardener
232455.375,wh,7,obj_ext,3,who
6961417.875,Det,7,obj_ext,4,the
1386.0,N,7,obj_ext,5,painter
4205.25,Vd,7,obj_ext,6,recommended
2880389.25,P,7,obj_ext,7,to
6961417.875,Det,7,obj_ext,8,the
10.125,N,7,obj_ext,9,homeowner
1039471.875,Vt,7,obj_ext,10,was
6961417.875,Det,8,obj_ext,1,The
1107.0,N,8,obj_ext,2,businessman
232455.375,wh,8,obj_ext,3,who
6961417.875,Det,8,obj_ext,4,the
679.5,N,8,obj_ext,5,banker
4205.25,Vd,8,obj_ext,6,recommended
2880389.25,P,8,obj_ext,7,to
6961417.875,Det,8,obj_ext,8,the
45132.75,N,8,obj_ext,9,company
291873.375,Vt,8,obj_ext,10,has
6961417.875,Det,9,obj_ext,1,The
2293.875,N,9,obj_ext,2,actor
232455.375,wh,9,obj_ext,3,who
6961417.875,Det,9,obj_ext,4,the
672.75,N,9,obj_ext,5,dancer
7858.125,Vd,9,obj_ext,6,mentioned
2880389.25,P,9,obj_ext,7,to
6961417.875,Det,9,obj_ext,8,the
13692.375,N,9,obj_ext,9,director
287097.75,Vt,9,obj_ext,10,would
6961417.875,Det,10,obj_ext,1,The
56.25,N,10,obj_ext,2,protester
232455.375,wh,10,obj_ext,3,who
6961417.875,Det,10,obj_ext,4,the
8616.375,N,10,obj_ext,5,student
437.625,Vd,10,obj_ext,6,shoved
183903.75,P,10,obj_ext,7,into
6961417.875,Det,10,obj_ext,8,the
4966.875,N,10,obj_ext,9,crowd
1039471.875,Vt,10,obj_ext,10,was
6961417.875,Det,11,obj_ext,1,The
32.625,N,11,obj_ext,2,intern
232455.375,wh,11,obj_ext,3,who
6961417.875,Det,11,obj_ext,4,the
4183.875,N,11,obj_ext,5,assistant
1374.75,Vd,11,obj_ext,6,assigned
2880389.25,P,11,obj_ext,7,to
6961417.875,Det,11,obj_ext,8,the
17116.875,N,11,obj_ext,9,project
286386.75,Vt,11,obj_ext,10,will
6961417.875,Det,12,obj_ext,1,The
27.0,N,12,obj_ext,2,firefighter
232455.375,wh,12,obj_ext,3,who
6961417.875,Det,12,obj_ext,4,the
187.875,N,12,obj_ext,5,policewoman
3951.0,Vd,12,obj_ext,6,directed
2880389.25,P,12,obj_ext,7,to
6961417.875,Det,12,obj_ext,8,the
7654.5,N,12,obj_ext,9,scene
1039471.875,Vt,12,obj_ext,10,was
6961417.875,Det,13,obj_ext,1,The
1872.0,N,13,obj_ext,2,prisoner
232455.375,wh,13,obj_ext,3,who
6961417.875,Det,13,obj_ext,4,the
3438.0,N,13,obj_ext,5,guard
437.625,Vd,13,obj_ext,6,shoved
183903.75,P,13,obj_ext,7,into
6961417.875,Det,13,obj_ext,8,the
13538.25,N,13,obj_ext,9,wall
291873.375,Vt,13,obj_ext,10,has
6961417.875,Det,14,obj_ext,1,The
15.75,N,14,obj_ext,2,cheerleader
232455.375,wh,14,obj_ext,3,who
6961417.875,Det,14,obj_ext,4,the
65.25,N,14,obj_ext,5,quarterback
44055.0,Vd,14,obj_ext,6,took
2880389.25,P,14,obj_ext,7,to
6961417.875,Det,14,obj_ext,8,the
45344.25,N,14,obj_ext,9,party
291873.375,Vt,14,obj_ext,10,has
6961417.875,Det,15,obj_ext,1,The
5245.875,N,15,obj_ext,2,customer
232455.375,wh,15,obj_ext,3,who
6961417.875,Det,15,obj_ext,4,the
2196.0,N,15,obj_ext,5,clerk
5689.125,Vd,15,obj_ext,6,pushed
183903.75,P,15,obj_ext,7,into
6961417.875,Det,15,obj_ext,8,the
8240.625,N,15,obj_ext,9,clothes
840.375,Vt,15,obj_ext,10,rack
6961417.875,Det,16,obj_ext,1,The
243.0,N,16,obj_ext,2,plumber
232455.375,wh,16,obj_ext,3,who
6961417.875,Det,16,obj_ext,4,the
534.375,N,16,obj_ext,5,carpenter
4172.625,Vd,16,obj_ext,6,drove
2880389.25,P,16,obj_ext,7,to
6961417.875,Det,16,obj_ext,8,the
5.625,N,16,obj_ext,9,worksite
75341.25,Vt,16,obj_ext,10,used
